"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
-1,-1,133.26,130.57,-1,-1
-1,131.74,129.3,129.2,-1,-1
114.83,152.04,-1,-1,-1,-1
255.66,254.28,217.75,238.79,206.17,209.85
-1,279.88,273.37,261.36,-1,-1
282.68,262.28,231.49,-1,207.63,-1
119.62,132.72,131.8,135.47,129.27,149.46
291.57,-1,273.03,261.67,243.7,-1
93.88,115.93,-1,113.62,108.22,128.04
292.99,75.48,-1,-1,-1,-1
258.98,272.94,-1,237.31,205.77,-1
283.04,-1,228.16,-1,208.16,-1
287.01,270.84,132.89,-1,-1,-1
95.14,146.27,-1,130.04,-1,-1
-1,-1,-1,149.03,209.18,210.73
282.58,267.44,230.9,244.63,104.33,-1
-1,-1,228.21,-1,35.67,-1
-1,-1,-1,105.58,98.02,-1
-1,-1,202.59,-1,196.56,-1
-1,248.12,203.44,235.8,194.23,-1
296.47,283.57,278.12,-1,-1,-1
238.97,341.41,-1,-1,-1,-1
-1,-1,-1,260.33,245.53,243.94
-1,-1,114.59,-1,274.51,-1
255.36,-1,221.25,-1,201.33,-1
297.92,286.45,291.88,273.89,-1,-1
100.85,-1,148.2,-1,201.35,203.48
290.19,278.34,269.91,262.19,248.43,-1
252.92,251.26,218.46,237.65,221.31,213.8
133.76,131.09,-1,130.94,-1,-1
-1,-1,271.24,-1,252.33,-1
-1,278.08,-1,261.69,-1,-1
-1,306.4,310.11,-1,-1,-1
290.84,283.89,263.24,-1,252.33,-1
117.87,157.63,146.02,164.54,-1,-1
-1,-1,-1,98.65,100.51,120.46
245.82,252.3,168.66,237.35,192.94,211.38
301.29,-1,292.26,276.12,-1,-1
-1,98.91,-1,101.83,-1,-1
97.77,283.13,-1,108.44,-1,-1
-1,-1,-1,-1,210.86,126.44
294.52,100.8,98.6,261.14,107.37,188.98
-1,119.85,230.34,98.26,-1,-1
-1,101.74,91.66,100.55,163.81,126.81
-1,-1,223.62,243.91,-1,-1
-1,-1,227.63,242.53,206.69,-1
-1,340.42,8.39,-1,-1,-1
283.65,298.48,260.65,262.94,191.35,211.75
92.5,-1,106.45,97.68,103.91,123.74
116.5,161.42,-1,-1,-1,-1
116.27,-1,146.41,-1,121.94,134.35
