"RMS_received_1","RMS_received_2","RMS_received_3","RMS_received_4","RMS_received_5","RMS_received_6"
NA,NA,NA,86.88,86.82,81.5
NA,NA,NA,86.01,90.58,86.17
84.02,79.1,78.75,NA,NA,NA
NA,79.81,80.08,79.54,80.86,79.17
75.05,73.84,77.18,NA,75.79,NA
95.79,88.52,73.38,90.98,89.45,85.37
86.48,86.57,NA,79.11,NA,NA
NA,90.48,NA,81.94,NA,NA
74.23,90.74,86.76,86.46,84.11,78.88
90.94,85.32,80.24,78.4,74.84,NA
NA,84.63,NA,79.64,NA,NA
NA,87.82,NA,89.79,85.98,78.24
NA,81.56,NA,81.24,NA,NA
NA,88.85,NA,85.99,NA,NA
87.29,84.32,90.72,90.66,87.66,83.54
NA,90.69,90.44,88.3,87.31,84.59
86.61,84.2,NA,NA,NA,NA
NA,NA,75.65,75.12,NA,NA
93.32,84.14,90.61,87.95,89.96,82.85
74.11,73.85,89.99,83.3,85.25,81.12
NA,79.48,NA,72.9,71.3,NA
NA,77.8,NA,78.33,77.01,77.59
98,87.13,91.57,89.21,80.29,NA
NA,97.45,NA,95.74,77.54,NA
94.03,NA,93.43,NA,NA,NA
NA,83.48,NA,76.58,75.78,NA
NA,85.04,78.05,NA,NA,NA
77.99,78.71,NA,NA,NA,NA
NA,74.81,73.99,NA,NA,NA
85.72,NA,81.92,90.3,84.46,NA
NA,81.02,80.88,NA,82.45,78.61
NA,80.83,74.44,73.56,NA,NA
96.3,99.7,NA,94.67,NA,NA
NA,72.89,75.72,NA,72.4,73.06
83.3,78.95,93.81,79.37,89.99,85.65
88.1,NA,76.78,NA,76.92,77.48
NA,NA,NA,NA,81.51,76.71
99.13,77.03,95.61,94.76,90.19,86.21
NA,NA,72.01,73.56,NA,NA
69.46,79.17,NA,84.16,77.85,NA
74.94,NA,66.91,NA,NA,NA
84.06,82.24,83.79,83.22,78.02,NA
86.6,86.55,83.77,78.9,NA,NA
78.44,75.03,NA,81.44,79.78,74.94
79.38,76.97,76.74,74.34,80.3,82.78
NA,NA,78.22,NA,83,NA
66.39,66.83,67.73,80.9,67.89,68.84
72,NA,77.15,NA,NA,NA
73.17,79.29,75.53,NA,76.4,75.3
81.27,82.39,NA,76.73,NA,NA
72.85,NA,74.8,75.42,NA,NA
77.98,82.05,NA,NA,NA,NA
NA,84.27,74.23,77.62,NA,NA
82.39,86.87,NA,NA,NA,NA
77.1,76.5,75.16,76.78,78.34,79.64
NA,NA,NA,NA,76.8,78.8
81.02,84.45,80.7,84.89,84.5,82.32
77.91,NA,76.39,NA,NA,NA
