"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
85.69,NA,150.04,195.98,NA,NA
NA,NA,NA,250.95,152.22,NA
60.98,141.45,145.62,203.28,158.81,NA
NA,NA,NA,NA,105.58,119.31
NA,NA,NA,203.87,170.15,NA
84.58,199.3,NA,NA,NA,NA
94.23,98.65,NA,NA,NA,NA
104.77,99.49,107.31,98.93,102.02,NA
58.94,248.43,149.1,NA,NA,NA
292,281.02,NA,266.25,NA,NA
296.06,286.59,268.82,262.05,242.86,235.58
NA,NA,NA,88.46,92.3,NA
284.18,273.64,261.79,257.76,233.73,228.68
286.8,276.81,261.98,NA,233.09,NA
291.14,276.84,257.41,263.64,227.49,NA
289.17,NA,269.58,NA,NA,NA
NA,281.49,NA,263.31,243.77,246.74
105.39,112.82,117.98,NA,NA,NA
NA,NA,270.41,NA,238.75,237.88
